PMID,ORGANISME
32496536,Walter Reed Army Institute of Research # Department of Pediatrics
32556552,Department für Augenheilkunde # Institut für Medizinische Virologie und Epidemiologie
32037389,Department of Respiratory Disease # Department of Traditional Chinese Medicine
32515379,Department of Medicine and Biological and 2Biomedical Science # Departments of Medicine
33023703,Biological & Biomedical Sciences # Warren Alpert Medical School of Brown University
33009893,Department of Pediatrics # Department of Internal Medicine
32764417,Department of Experimental Medicine # Medical Genetics Division # Department of Veterinary Science # Department of Chemistry # INRS # Department of Public Health and Infectious Diseases # Dani Di Giò Foundation # IRCCS San Raffaele Pisana # Research Laboratories # Microbiology Research Center (MRC)
32357381,Department of Otorhinolaryngology Head and Neck Surgery
32290904,The Department of Infection # Sheffield Teaching Hospitals NHS Foundation Trust
32703896,Department of Laboratory Medicine
32228322,Clinical Endocrine Section
32586739,Professor of Otorhinolaryngology # Assistant professor of Otorhinolaryngology
32915061,Translational Medicine Department
32744711,Nutrition Health Research Center
32733765,University of Baghdad
32306616,State Key Laboratory Cultivation Base
32530163,Haizhu Branch of Guangzhou Public Security Bureau
32401577,Laboratory # Pathology # Orleans Parish Coroner's Office # Pediatrics # Department of Pediatrics
32479958,Collaborative Innovation Center for West Ecological Safety (CIWES)
32511316,Centers for Disease Control and Prevention # Eagle Contracting # IHRC # ORISE # Synergy America # Department of Microbiology and Immunology # World Reference Center for Emerging Viruses and Arboviruses # Department of Biochemistry & Molecular Biology # Department of Pathology
32553545,Center for iPS Cell Research and Application (CiRA)
32399755,Department of Anatomical # Department of Medicine
32663789,Big Data Analytics Center (BiDAC) # Weldon School of Biomedical Engineering
32316713,The Second Affiliated Hospital of Xi 'an Jiao Tong University
32323499,Department of Radiology
33051397,Department of Neurology
32617987,Department of Biotechnology # Amity Institute of Biotechnology # Department of Physics
32280053,Programme in Evidence Based Health Care
32464271,Department of Genetics and Bioinformatics
33074107,Department of Medicine # Azienda Ospedaliera Universitaria Integrata # Section of Clinical Biochemistry # Department of Diagnostics and Public Health
32303807,Laveran Military Hospital
33264436,Nucleus of Multidisciplinary Research in Biology (Numpex # Postgraduation Program of Translational Biomedicine (Biotrans) # gcell 3D cell culture
32535294,Istanbul Medeniyet University
32674732,Laboratory of Cheminformatics
32336398,Department of Stomatology. Electronic address: zhaozg@sj # Department of Clinical Laboratory
32311451,Department of Hematology # Department of Physiology and Pathophysiology # Department of Anesthesia # Department of Clinical Research
32413344,Sydney Health Ethics
32739174,Virology Laboratory
32392330,Department of Pathology
32660218,Department of Atmospheric and Oceanic Sciences
32824767,Department of Immunology # Institute of Applied Biotechnologies a.s.
32778421,Université du Québec à Chicoutimi (UQAC) # Centre de recherche
32777699,Sherman Abrams Laboratory
32840560,School of Biotechnology # Department of Zoology
32926404,Department of Anaesthesia # Department of Pathology # Centre for Healthcare Education Research and Innovation
32693757,Delhi Pharmaceutical Sciences and Research University # Chitkara College of Pharmacy
32289366,Deptt. of Computer Science and Applications.
32489175,Institute of Microbiology
32761081,Department of Laboratory Medicine # National Heart
32548652,Abt. Krankenhaushygiene und Infektiologie # Sachgebiet Infektionsschutz und Hygiene # Klinik und Poliklinik für Rheumatologie und Klinische Immunologie
32338613,Mensana srls # Institute of Public Health
32493627,Department of Pharmacology
32456506,School of Medicine # Department of Biomedical and Molecular Sciences # School of Baccalaureate Nursing
33100263,Independent Researcher.
32849647,CNRS # Medicine Faculty
32357206,Department of Pathology and Laboratory Medicine
32046815,Viroscience department # Centre for Infectious Disease Control # European Centre for Disease Prevention and Control # German Centre for Infection Research (DZIF) # Charité # Department of Microbiology # Unité des Virus Emergents (Aix # The participating members of EVD
32592841,Pharmaceutical Sciences Research Center
32967849,Baylor University Medical Center # Baylor Heart and Vascular Institute # Baylor Jack and Jane Hamilton Heart and Vascular Hospital
32515402,Institute of Physiotherapy and Rehabilitation Sciences # Department of Rehabilitation Medicine
32928234,Tianjin Second People's Hospital and Tianjin Institute of Hepatology
33133071,Department of Computational Biology
32249257,Department of Internal Medicine # Department of Respiratory Medicine
32932534,Department of Dental Materials and Prosthodontics # Brazilian Institute of Northern Education (IBEN) # Oral Oncology Center
32360231,Monash Biomedicine Discovery Institute and Department of Biochemistry and Molecular
32292802,1Centre for Interdisciplinary Research in Basic Sciences # 2Center of Excellence in Biotechnology Research # 3Protein Research Chair # Dr. M. A. Ansari Health Centre
32845192,Department of Health Technology and Informatics # Department of Clinical Oncology # Codex Genetics Limited 
32761223,The Johns Hopkins University School of Medicine. # New York Blood Center Enterprises.
32580969,Division of Pathology # Division of Surgery # Department of Veterinary Microbiology and Immunology # Division of Biological Standardization # Center of Research Excellence on Therapeutic Proteins and Antibody Engineering # Semillero de Zoonosis # Public Health and Infection Research Group # Latin American Network of Coronavirus Disease 2019 # Grupo de Investigación Biomedicina
32495654,School of Life Health & Chemical Sciences
32391440,1Department of Global Health and Development # 2Faculty of Pharmacy # 3Department of Thoracic Surgery
32593062,Deptt. of CSA # Deptt. of CS
32846165,Department of Stomatology # Department of General medicine # School of Information Science and Engineering # Department of Endocrinology
32600045,Department of Biological and Biomedical Sciences
32585913,Department of Molecular and Cellular Biology
32756872,Department of Pathology and Laboratory Medicine # Hematology Laboratory
32427517,Department of Systems Pharmacology & Translational Therapeutics # Department of Biosciences and Bioengineering
32907595,Beaumont Children's Hospital # Department of Neuroradiology # Department of Pathology # Department of Emergency Medicine
32360581,Pharmacology Department
32227493,SystImmune Inc
32335233,UCL Medical School
32645175,Division of Infectious Diseases # Harvard Medical School # Department of Cardiology
32516772,Department of Urology # Division of Urology # Urology # Department of Internal Medicine and Geriatrics # Digital Design Kingdom # Radiotherapy Unit # Department of Translational Medical Sciences
33133042,Department of Agricultural and Environmental Sciences # Department of Food Science
32322400,Microbiology Section # Department of Pathology
32432960,School of Dentistry
32035510,Department of Opthalmology # Division of Clinical Research
32156332,These authors contributed equally. # European Centre for Disease Prevention and Control
32967801,University of Copenhagen
32888169,Data Science Institute
32166128,1Global Health Institute # 2Department of Epidemiology # 3School of Political Science and Public Administration
32945021,Student Research Committee # Control Disease Department # Department of Infectious Diseases # Zoonoses Research Center and Department of Parasitology and Mycology
32386056,Gastroenterology and Digestive Endoscopy Unit
32519117,Zentrum für Augenheilkunde
32313463,Division of Infectious Diseases # Division of Pulmonary
32702272,School of Sport
32300101,State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral # State Key Laboratory of Oral Diseases & Human Saliva Laboratory & National Clinical
32807416,Area Neuroscienze # Area Diagnostica per Immagini
32426928,Department of Emergency and Organ Transplantation
33182073,Children's Health Queensland Clinical Unit
32575076,Cobo Technologies Aps # Proteomics Unit
32023340,Dalla Lana School of Public Health
32553063,Robert Koch Institute
32515380,Department of Diabetology # Diabetes and Endocrine Unit # Department of Endocrinology
32243607,Department of Respiratory and Critical Care Medicine # Department of Laboratory Medicine
32679185,Usl Umbria 1
32341143,Infectious Disease Diagnostics # Department of Pathology and Laboratory Medicine
32414716,NHS Lothian
33184809,Department of Chemistry # Science Branch
33147014,Department of Chemistry # Neuroimmunology and Neurovirology Branch # C2i Genomics
32893532,Department of Laboratory Medicine # Department of Gastrointestinal Surgery
32405086,Division of Digestive and Liver Diseases # Division of General Medicine
32837219,Department of Basic Sciences and Social Sciences # Department of Botany and Microbiology # Department of Environment and Forest Resources # Genetics Laboratory
33064680,Hospital Infantil de México Federico Gómez # Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional
32294858,Department of Radiology
32350226,Infectious Disease Surveillance Center # Department of Virology III # Influenza Virus Research Center # Department of Pathology
32434058,Discipline of Earth Sciences # Discipline of Civil Engineering # Discipline of Materials Science and Engineering # Department of Pharmacology
32652520,Pediatric Neurology Department # Radiology Department # Internal Medicine Department # Pediatric Department # Rheumatology and Rehabilitation Department # Faculty of Behavioral
32840606,Department of Orthopaedic Medical Engineering # Department of Public Health # Research Center for Infectious Disease Sciences
32700510,Zaklad Biochemii
32522074,Kaijin Wang and Xuetong Zhu are Postgraduate Research Assistants; and Jiancheng Xu
32780854,Endocrinology Unit
32266498,Orthodontic Program # Postgraduate School of Orthodontics # Division of Orthodontics
32437797,Department of Regulatory Toxicology
32750131,Department of Molecular and Clinical Pharmacology # Department of Pharmacy # Division of Infectious Diseases and Hospital Epidemiology # University of Basel # Radboud University Medical Centre # Royal Liverpool University Hospital
32531256,Laboratory Medicine Center
32705222,Department of Infectious Disease
32268188,Department of Pathology
32286678,Department of Cardiology
32129842,Department of Medicine
32979405,CSIRO Health & Biosecurity
32476793,State Key Laboratory for the Diagnosis and Treatment of Infectious Diseases # Department of Pathology
32734860,Immunopathology Laboratory
32329276,Periodical Press of West China Hospital # Laboratory of Anesthesia and Critical Care Medicine
32286913,ENT Institute and Otorhinolaryngology Department of the Affiliated Eye and ENT # Department of Critical Care Medicine # Department of Infectious Diseases # Department of Otolaryngology # American Academy of Otolaryngology
32321823,Immunopathology Laboratory
32639941,Laboratory Medicine
32946292,Department of Neurobiology # School of Medicine # National Institute of Science and Technology on Neuroimmunomodulation
32788071,Department of Internal Medicine
32872802,Instituto Universitario de Matemáticas y Aplicaciones
32301749,Department of Laboratory Medicine # Department of Medicine
32470237,School of Stomatology # Department of Gerodontology and Oral Rehabilitation # Oral Medical Center
33041212,Department of Biological Sciences
32571533,Duke University School of Medicine # Saw Swee Hock School of Public Health
32412790,Drexel University College of Medicine # Dartmouth College # Department of Biology # Northwestern University # Department of Medical Engineering # Department of Radiology and Biomedical Imaging
32347435,Department of Critical Medicine # Radiology Department
32360606,Elysium Health Center
32430086,Department of Cardiology of Affiliated Hospital of Jining Medical University # Cangzhou Medical College # Party Committee Office of Affiliated Hospital of Jining Medical University
32691843,Centre for Global Health # National Institute for Health Research Global Health Research Unit on Respiratory
32934678,Institute of Disaster Medicine # Tianjin Key Laboratory of Disaster Medicine Technology # General Hospital of Tianjin Medical University
32536632,Department of Pharmacy # Department of Infection # Department of Urology # Department of Infection and Imuunity
32645276,Virology Unit # Unit of Medical Statistics and Molecular Epidemiology # Department of Experimental Medicine # Department of Laboratory Medicine # Emerging Technologies Division
32820801,Department of Anatomy # Department of Pharmacology # NCI
32341442,Department of Cardiology # Department of Pharmaceutical and Health Care Management
33135928,Department of Clinical Laboratory # Health Management Center
32721922,Family Medicine and Primary Care
32246783,Department of Histology and Embryology # Institute of Acupuncture and Moxibustion # Neural Architecture
33030333,Department of Biological and Biomedical Sciences
32234453,Departments of Infectious Diseases # Shanghai Public Health Clinical Center
32526085,Unit of Dermatology
33130396,Istituto di Ricerche Farmacologiche Mario Negri IRCCS
32547039,Clinical Medical College # Department of Neurology
32273156,Department of Endodontics
32690859,Hospital Universitario Marqués de Valdecilla. Santander. España.
32462695,State Key Laboratory of Respiratory Disease
32849619,Ribeirão Preto School of Medicine # Nathan Portela Institute of Tropical Medicine
32515374,Department of Microbiology
33161739,Deputy Director Infection Prevention and Control
32564046,Faculty of Medical Sciences in Katowice # Specialist Medical Practice in Jaworzno
33211430,Service de Pneumologie # Service d'Anatomie pathologique # FNRS
32679426,Hemolymphopathology Team
32558285,Department of Pediatrics # School of Medicine # Pediatric Cardiology Unit # Neuroradiology Unit # Radiology Unit
32673567,Laboratory of Experimental Immunology # Institute of Virology # Department I of Internal Medicine # Department of Structural Biology # Institute for Dental Research and Oral Musculoskeletal Biology and Center for # Faculty of Medicine # Institute for Translational Bioinformatics # Department of Internal Medicine # Department of Infectious Diseases and Tropical Medicine
32418947,Graduate School of Frontier Science # Department of Immunology
32412088,Department of Medicine # Faculty of Life Sciences and Medicine # Department of Cardiothoracic Surgery # School of Medicine
32366720,Zoonotic Virus Laboratory # Medicinal Chemistry # Screening Discovery Platform
32281335,Institute of Chinese Materia Medica # Xiyuan Hospital
32249203,Department of Surgery # Department of Dermatology # Department of Viroscience # Department of Radiation Oncology # Center for Vaccine Research
32380230,UCL Medical School
32468851,Department of Medical Oncology
32568679,Department of Computer Technology # Department of Computer Engineering # Department of Software Engineering
32400364,Department of Virology # Infectious diseases # These authors contributed equally to the work.
32367431,Department of Anesthesiology # Department of Anaesthesia and Intensive Care
33182040,Department of Bioscience and Bioinformatics
32591654,VCU School of Dentistry
32496242,Professor # Associate Professor
32234131,Department of Radiology # Department of Pediatrics # Department of Respiratory Medicine
33099370,Department of Psychiatry
32170806,Department of Infectious Diseases # Joint International Laboratory of Infection and Immunity # Institute for Virology
32301968,Institute of Cardiovascular and Medical Sciences # Division of Cardiovascular Sciences
32621814,Medical Technology School of Xuzhou Medical University # Nanjing Vazyme Medical Technology Co. Ltd. # Pathology and Laboratory Medicine
32450629,Department of Respiratory and Critical Care Medicine
32285862,Family Medicine Subdivision. Universidad Nacional Autónoma de México # Postgraduate Studies Division. Universidad Nacional Autónoma de México
32914439,Laboratory of Animal Infectious Diseases # CAS Key Laboratory of Pathogenic Microbiology and Immunology # Research Network of Immunity and Health (RNIH) # University of Chinese Academy of Sciences
32241022,Department of Obstetrics and Gynecology # Department of Clinical Laboratory # Department of Infectious Diseases # Peking Union Medical College
32226290,Key Laboratory of Flexible Electronics (KLOFE) & Institute of Advanced Materials # Faculty of Health Sciences
32974268,Institute for Genetic and Biomedical Research # Independent Consultant # Department of Biomedical Sciences
32283283,Guangzhou Center for Disease Control and Prevention
32226289,Faculty of Health Sciences # Institute of Translational Medicine
32669221,State Key Laboratory of Trauma
33051389,Department of Stroke Medicine
32793245,Department of Pharmacy # Department of Pharmaceutics
32701763,MultiCare Tacoma General Hospital
32969369,Nepal Health Research Council
32806708,Department of Pediatrics # Comparative Medicine # Department of Pediatric and Adolescent Medicine # Center for Molecular Medicine Cologne (CMMC) # Member of the German Center for Lung Research (DZL)
32534188,School of Chemistry # School of Studies in Chemistry # Biocapteurs
33211425,Fondation Léon Fredericq
32075877,Department of Molecular Biosciences # Vaccine Research Center
32187834,Department of Medical and Surgical Sciences for Children and Adults # Infectious Diseases Clinics # Department of Anesthesia and Intensive Care
32353114,Division of Gastroenterology # Division of Pulmonary
32927142,Health Services Academy # Department of Surgery # NIHR Oxford Biomedical Research Centre
32826162,Department of Medical and Surgical Sciences for Children & Adults # Intensive Care Unit # Department of Surgical
33185755,Laboratory of Virology
33211429,Service des Urgences # Service de Cardiologie
32712300,Department of Cardiology
32978832,Department of Prosthodontics and Crown and Bridge # Department of Periodontology # Department of Oral and Maxillofacial Pathology
32719902,Neurology Unit # Neuropsychology Unit # Emergency Department # Laboratory of Clinical Pathology
32305589,Department of Pharmaceutical Sciences
32822060,Division of Neuroradiology # Department of Ophthalmology
32773996,Working Group on International Health Security # COVID
33051390,Department of Neurology and Clinical Neuroscience
32197085,State Key Laboratory for Conservation and Utilization of Bio
32295324,Department of Ophthalmology
32422426,Istituto di Neuroscienze Firenze
32489029,Xiyuan Hospital # Institute of Chinese Materia Medica
33100290,Community Health Service Center of the Qianfo Mountain Office # Department of Pharmacy
32362243,School of Biochemical Engineering # Computer Aided Drug Design and Molecular Modeling Lab
32419272,Department of Biological Science and Technology
32143990,Department of Allergy & Clinical Immunology # Center for Systems Medicine # Department of Respiratory Diseases # Department of Infection Prevention and Disease Control # Division of Rheumatology
32204922,Facultad de Medicina # Department of Neurosurgery # Departamento de Inmunobioquímica
32350227,Department of Microbiology
32229159,Infectious diseases department # Imaging department
32651224,Department of Pathology # Infectious Diseases Pathology Branch
32416993,New York
32353545,Department of Respiratory and Critical Care Medicine # Department of Radiology
32543705,School of Chemistry
33099570,St. George's University # Department of Surgery
32317256,Primex Clinical Laboratories # La Cañada High School
32690382,Gastroenterology Unit
32933536,Research Department
32633997,Department of Family Medicine and Rural Health
33077340,Department of Biochemistry and Molecular Biology # Department of International Health
33138262,Institute of Medical Physics # Center for Applied Genomics # Department of Pediatrics # Division of Human Genetics # Division of Pulmonary Medicine
33118529,Department of Epidemiology
32579306,Semmelweis Egyetem # MTA # European Academy of Neurology
32281583,Department of Pharmacology # Department of Pathology
32878481,Laboratory of Microbiology
32528612,Department of Public Health # Global Programs Division
32482366,Department of Internal Medicine # Departments of Laboratory Medicine and Internal Medicine
32855181,Vaccine and Immunotherapy Center # Inovio Pharmaceuticals # Department of Medicine # Department of Microbiology
32518103,Hospital Universitario Miguel Servet
33070902,"A.U.O. ""Policlinico Umberto I"" # IRCCS"
32389373,Department of Radiology
33144494,Cancer Center
33085639,Department of Obstetrics # Faculdade de Medicina da Universidade do Porto # Instituto de Investigação e Inovação em Saúde
33048448,Texas Biomedical Research Institute
32571582,Istituto Superiore di Sanità (National Institute of Health) # Flinders University
32466999,Allergy Centre # Hospital Charité
32857119,AWEsome Numbers # Dr Ram Manohar Lohia Hospital
32896179,Amity Institute of Nanotechnology (AINT)
32696862,Centro Universitário Cesmac
32027035,Hubei Engineering Research Center of Viral Vector # Department of Spleen and Stomach Diseases # Department of Science and Technology # Immunology Innovation Team # Precision Cancer Center Airport Center # Department of Medicine
33058643,Service de maladies infectieuses et tropicales
33008774,Integrative Medicine US
32401043,Institut des Hautes Études Scientifiques # Mathematics Department
32515376,Department of Internal Medicine # The Peter Doherty Institute for Infection and Immunity # Department of Endocrinology
33162939,Centre for Biomolecular Interactions Bremen # Department of Molecular Medicine
32350048,Department of Laboratory Medicine # LabCorp Seattle # Vaccine and Infectious Disease Division
32491829,Cellular and Molecular Neuroscience
32025790,Department of Radiology
32559285,Laboratory of Microbiology and Virology # Laboratory of Virology
32229802,Department of Anesthesiology and Pain Medicine # Department of Obstetrics and Gynecology
32578263,Reproductive Biology Laboratory
32187818,Institute for Medical Informatics # Department of Therapy Validation # Department of Precision Instrument
32336594,Department of Respiratory Medicine and Infectious Diseases
32576386,Department of Clinical Pharmacy
32903227,Division of General Internal Medicine # Department of Medical Oncology
32755724,Division of Microbiology
32319792,Department of Radiology
32437077,Deakin University
32147715,Division of Infectious Diseases and Geographic Medicine
32761155,Washington Kaiser Permanente Laboratories
32325121,Internal Medicine Department
32425000,State Key Laboratory for Diagnosis and Treatment of Infectious Diseases # School of Pharmaceutical Sciences # Health Policy and Hospital Management Research Center
32414838,Department of Pathology # Microbiology Laboratory
32911389,Department of Neurology
32604015,Department of Physiology
32883550,Unité de recherche clinique # Dispensaire Émile # Service de pneumologie
32499172,Pontificia Universidad Católica Madre y Maestra
32731258,Laboratory of Virology # The Jenner Institute # Rocky Mountain Veterinary Branch
32801640,Department of Pharmacy
31967321,Department of Microbiology # Department of Spleen and Stomach Diseases # Department of Science and Technology # Immunology Innovation Team # Hubei Engineering Research Center of Viral Vector
32667047,Department of Neurology
32141619,Department of First Clinical Medical College # Department of Obstetrics
32450264,University College London Medical School # West Hertfordshire Hospitals NHS Trust
32450197,Department of Internal Medicine # Department of Medicine # Department of Pediatrics # Department of Emergency # Department of Laboratory Medicine
33061265,Department of Ophthalmology # Birat Eye Hospital # Sankara Nethralaya Referral Laboratory # Department of Biochemistry # Department of Optometry # Larson & Turbo Microbiology Research Center # Children Hospital for Eye # Department of Uvea and Ocular Pathology
32992235,Department of Microbiology & Immunology
32192233,Newport Hospital # Warren Alpert Medical School of Brown University
32194980,1Genomic Medicine Institute # 2Department of Molecular Medicine # 3Case Comprehensive Cancer Center
32965011,Department of Health Professional Technology
32227186,Section of Sustainable Health
32387967,Department of Maternal Science # Laboratory of Virology
32303565,Department of Pathology # Clinical Microbiology Laboratory
32419737,Unité de recherche clinique # Service de pneumologie # Dispensaire Emile
32534946,Department of Medical Lab Technology # Department of Neurology # Department of Neurosurgery
32843531,Department of Pathology # Department of Laboratory Medicine
33123896,Department of Pediatrics # Department of Laboratory
32387682,Department of Respiratory Medicine
32620182,Current affiliation: Department of Health
32491919,Scripps Research Translational Institute
33034398,Department of Internal Medicine and Therapeutics # Laboratory of Molecular Medicine # Velleja Research S.r.l.
32914746,These authors contributed equally. # Department of Health Protection and Epidemiology # Project Containment Scouts # Postgraduate Training for Applied Epidemiology (PAE) # European Programme of Intervention Epidemiology Training (EPIET) # Department of Hygiene and Infection Control # Institute for Clinical Epidemiology and Applied Biometry
33037564,ICAR # Department of Biophysics # Department of Nephrology # Department of Biological Science & Engineering # Agro Produce Processing Division
32780856,International Union Against Tuberculosis and Lung Disease # London School of Hygiene and Tropical Medicine # Yenepoya Medical College
32860499,Center for AIDS Prevention Studies
33167796,University at Buffalo # David Geffen School of Medicine at UCLA
32883938,Department of Infectious Diseases # Department of Pulmonary and Critical Care Medicine
32389618,Pidu District People's Hospital # Changxing County Hospital
32428207,Department of Pathology UC
32409230,Department of Bioscience and Biotechnology # Department of Hematology and Medical Oncology
33017386,Instituto de Agroindustrias
33109839,Institute of Neurology and Neurosurgery # International Brain Research Foundation
32805728,Guangxi Key Laboratory of Tumor Immunology and Microenvironmental Regulation # Department of Pharmacy # Center for Promotion of International Education and Research
32275742,Office of the Chief Medical Examiner # Section of Thoracic Imaging # Department of Pathology
32672025,Professeur honoraire
32579100,Department of Virology # Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise (IZSAM) # MRC
32588589,Medical College of the University Institute of Health Sciences # Faculty of Medicine
32698095,Neurology Department
32623068,Vaccine and Immunotherapy Center
32610110,Dermatology Unit
32535232,Department of Hematology # The Seventh Affiliated Hospital
32845609,Institute of Biomedical Research (BIOMED)
32283498,College of Medicine & JNM Hospital # Saifee Hospital # G. D Hospital & Diabetes Institute
32430094,Department of Infectious Diseases # Kymab Ltd
32048815,Big Data Research Center # College of Computer Science # Beijing AiQiYi Science & Technology Co. Ltd. # Shenzhen International Graduate School # CompleX Lab # College of Systems Engineering # West China Biomedical Big Data Center
32169673,The Chinese Peoples' Liberation Army 964 Hospital # Institute of Special Wild Economic Animals and Plants # College of Animal Sciences
32312365,Department of Pediatric Cardiovasology
32745181,Department of Pathology and Laboratory Medicine
32662981,Department of Biology
32083831,Associate Editor of Diagnosis # Editor
32677846,Department of Biological Sciences # Centre for Advanced Photonics & Process Analysis # Blackrock Castle Observatory
32199182,PostGraduate Program in Health Sciences # School of Medicine of Juazeiro do Norte
32387864,Private Practice # Department of Endocrinology
32479856,Department of Medical Laboratory Sciences # Department of Pharmacy # Cell Therapy Center # Faculty of Medicine
32825963,Experimental Medicine Research Center # School of Medicine # Skin Research Center # Department of Pathology
32430279,Leucine Rich Bio Pvt Ltd. # Rajiv Gandhi Cancer Institute and Research Centre
32608335,Research Laboratory of Clinical Virology
32629875,Viral Oncology Section # Laboratory of Cellular Oncology
32869227,Klinik für Innere Medizin # Praxis für Radiologie # IMD Labor Oderland
32920233,Institute for Advanced Study
32347791,Richmond # Beirut
33070911,Cooper Neurological Institute # Department of Radiology
32687696,Department of Medicine
32556078,Department of Pathology # American Society for Clinical Pathology
32469258,Department of Ophthalmology # Institute of Forensic Medicine # Institute for Cardiac Diagnostics and Therapy  # Institute for Medical Microbiology
33064159,Department of Internal Medicine II
32771637,Department of Pediatrics
32330766,Institute of Environmental Assessment and Water Research (IDAEA) # Department of Applied Physics
32450246,Department of Life Sciences # Research Lab
32741218,70401 Division of Dermatology # 2129 Division of Pediatric Rheumatology # Division of Pediatric Infectious Diseases # Division of Anatomic Pathology # 9978 Division of Community Pediatrics
32967479,Medical and Dental Illustration # Clinical and Dental Photography # Dr.med.dent # Infection Prevention and Control
32972810,National Institute of Cardiology
32536344,Department of Medical and Surgical Sciences # Department of Infectious Diseases
33083934,Student Research Committee # Cellular and Molecular Biology Research Center # Neuroscience Research Center
32302706,Nanjing Key Laboratory of Pediatrics
32172672,School of Biomedical Sciences # Department of Microbiology
32911161,Biosystems and Environmental Engineering Research Group
32447571,Department of Chemistry
32504135,Neonatology Area # Pediatrics Department
32276848,Department of Paediatrics # Qingdao Women and Children's Hospital
32898468,School of Biotechnology # School of Community Science and Technology (SOCSAT) # Motihari College of Engineering # Department of Biotechnology
32416600,National Institute for Public Health and the Environment # Erasmus Medical Center
33080785,Chemical and Materials Engineering Department # Department of Microbiology and Immunology
32425208,Stanford # Baltimore
32581071,Department of Infection Control # Department of Laboratory Medicine # Center of Infectious Diseases # Center for Pathogen Research
32585611,Dr GC Negi College of Veterinary and Animal Sciences # CSIR
32894971,Professor Alborzi Clinical Microbiology Research Center # School of Medicine
32515384,Department of Pulmonary Medicine # Fellow
32929665,Department of Ophthalmology # Sackler Faculty of Medicine # Faculty of Medicine # The Matlow's Ophthalmo
32628969,Consiglio Nazionale delle Ricerche
32758625,Department of Pharmaceutical Chemistry # Department of Pharmaceutics
32779342,Division of Microbiology # Department of Obstetrics and Gynecology
32607866,Department of Pharmacology
32683333,Italian National Blood Centre # Department of Hematology and Transfusion Medicine # Infection Control Committee and Antibiotic Stewardship Programme
32651975,Department of Laboratory Medicine
32410788,Medical Resident at the Department of Medical Oncology # Medical Resident at the Department of Internal Medicine
33078141,Occupational Health Department # Department of Public Health
32502117,Institute of Emergency and Critical Care Medicine # Department of Pediatrics
32496247,PhD Student # Principal Investigator
32768565,Cirad # Department of Evolutionary Biology # State Key Laboratory of Molecular Vaccinology and Molecular Diagnostics # IHU
32900263,Bioscience Research & Development # IRTA # Laboratorio Coronavirus. Departamento de Biología Molecular y Celular # UAB # Departament de Sanitat i Anatomia Animals
33120941,Cerebrovascular Research # Department of Biomedical Engineering and Molecular Medicine
32334862,Médecine interne
32443683,Italian Psychogeriatric Association # De Leo Fund # Australian Institute for Suicide Research and Prevention # Department of Pharmacology
32553834,Emergency Department # Department of Radiological Functions # College of Health Care Professions Claudiana
32729732,Department of Biomedical Sciences # Division of Gastroenterology # IBD Center
32146554,William N. and Marie A. Beach Professor of Operations Research
32463446,Chinese PLA Center for Disease Control and Prevention # The Fifth Medical Center of PLA General Hospital
32525650,Department of Biology
32344305,Department of Neurology # Department of Respiratory Medicine # Department of Computer and Electrical Engineering
32446287,Department of Pharmacy # Anti # Antimicrobial Stewardship Program # Leslie Dan Faculty of Pharmacy
32896175,Center for Drug Safety Evaluation and Research of Zhejiang University
32225178,Ionian Department # CEDICLO # Regional Emergency Service
32556942,School of Health Studies # Center for Nutraceutical and Dietary Supplement Research # University of Memphis
32753137,Centre for Medicine Use and Safety # Department of Epidemiology and Preventive Medicine
32551877,Department of Psychology
32381641,Department of Laboratory Medicine # Department of Medicine # Vaccine and Infectious Disease Division # Department of Biomedical Informatics and Medical Education
32545412,Good Clinical Practice Research Group
33101306,Department of Microbiology and Immunology # Immunology Research Center # Robarts Research Institute
32946224,Genome and Systems Biology Degree Program # Department of Agricultural Chemistry # Institute of Biochemical Sciences
32321656,Servicio de Radiodiagnóstico
32563814,Natural Science Laboratory
32794675,Department of Orthopedics # Department of Nursing # West China School of Nursing
32981233,Clinical Laboratory # Department of Hematopathology
32445924,Monash Biomedicine Discovery Institute and Department of Biochemistry and Molecular
32729064,Department of Experimental Medicine and Biotechnology
32652166,Department of Microbiology and Infection # Department of Radiology
32446722,Department of Infectious Disease and Infection Control # Department of Clinical Laboratory # Centre of Clinical Infectious Disease and Research # Department of Microbiology
32921710,Service of Clinical Governance # Cardiac Intensive Care Unit # Department of Physiology # Section of Clinical Biochemistry
32681983,St. Michael's Hospital # Centre Hospitalier de l'Université de Montréal
32295237,Department of Chemical Sciences and Technologies
32529866,Pulmonary # Division of Non
32315667,Providence Sacred Heart Medical Center & Children's Hospital # University of Washington School of Medicine # Providence Medical Research Center # MultiCare Valley Hospital # Swedish Center for Research and Innovation
32507543,La Jolla Institute for Immunology # Department of Pediatrics # Kord Animal Health Diagnostic Laboratory
33042114,Department of Health Sciences
32624257,Department of Medicine
32511335,Department of Microbiology and Immunology # Department of Microbiology # Institute for Human Infection and Immunity
33141814,Departamento de Ciencias Médicas
32595955,Institute for Comprehensive Medical Science
32587443,Deaprtment of Surgery and Liver Transplant Institute
32800893,Dept. Soil Science and Agricultural Chemistry
32973779,Department of Microbiology and Immunology # Department of Medical Technology # Division of Infectious Diseases and HIV Medicine
